%time,field.layout.data_offset,field.data0,field.data1
1548930490235488903,0,3.39879532158,38.6300017834
1548930490336399424,0,3.39858229458,38.8010017872
1548930490340568639,0,3.39931285381,38.5610020161
1548930490437373137,0,3.39931285381,38.5610020161
1548930490538291513,0,3.39922176301,38.7800018787
1548930490639511987,0,3.39977015555,38.6810023785
1548930490740511594,0,3.39852128923,38.8260018826
1548930490841587146,0,3.40068393946,38.6530020237
1548930490942575335,0,3.39891730249,38.6170020103
1548930491043278981,0,3.39922176301,38.55600214
1548930491144318487,0,3.39675500989,38.5480020046
1548930491245139626,0,3.39532366395,38.7290019989
1548930491346445759,0,3.39779065549,38.6580021381
1548930491447233045,0,3.39946553111,38.4790019989
1548930491548452266,0,3.39739456773,38.682002306
1548930491649162474,0,3.39861267805,38.6150021553
1548930491729140938,0,3.39788219333,38.4360020161
1548930491830295755,0,3.39815618098,38.9160020351
1548930491931285225,0,3.39855220914,38.7210018635
1548930492032052516,0,3.39937414229,38.5500020981
1548930492133094160,0,3.39894779027,38.6150019169
1548930492233982993,0,3.39611504972,38.5280022621
1548930492356380656,0,3.39824746549,38.4770019054
1548930492435989291,0,3.39696797729,38.7580018044
1548930492558291307,0,3.39980058372,38.834002018
1548930492638403908,0,3.39769911766,38.5360021591
1548930492760062916,0,3.39977015555,38.6740021706
1548930492840008411,0,3.40348684788,38.6750020981
1548930492868244040,0,3.40482616425,38.7270019054
1548930492961941463,0,3.40482616425,38.7270019054
1548930493041991726,0,3.40328262746,38.8090019226
1548930493163888313,0,3.40270279348,38.6840019226
1548930493243898391,0,3.4016354084,38.7470016479
1548930493365790048,0,3.40264207125,38.8590018749
1548930493445818067,0,3.40450277925,38.7920019627
1548930493567832140,0,8.28300473653,91.3530070782
1548930493647769095,0,1.04901386797,20.9200006723
1548930493769796238,0,5.82283539698,94.3590047359
1548930493849818020,0,8.33746731281,116.150006771
1548930493971723560,0,6.36785976402,83.3240039945
1548930494051844097,0,7.80067335069,93.9060046673
1548930494173679083,0,8.44822053611,105.993005037
1548930494253771784,0,7.98484927416,90.6060028076
1548930494375709002,0,8.39130532742,88.088003397
1548930494455898610,0,8.50339320302,110.944004774
1548930494577782572,0,8.26694092527,101.20900321
