%time,field.layout.data_offset,field.data0,field.data1
1548929936129636015,0,3.30677935481,0.332999706268
1548929936230506568,0,3.3066011332,0.371999740601
1548929936331530916,0,3.30764167383,0.554000377655
1548929936453626347,0,3.30674993992,0.325000286102
1548929936533711908,0,3.30597659573,0.530000209808
1548929936655607518,0,3.30764194578,0.507999897003
1548929936735511389,0,3.30755230412,0.691999912262
1548929936857988681,0,3.30686875433,0.569999694824
1548929936937704117,0,3.30746311694,0.542000293732
1548929937059576533,0,3.30802829936,0.654000282288
1548929937139459072,0,3.30674951524,0.498000144958
1548929937261509596,0,3.30814708397,0.431000709534
1548929937341386530,0,3.30710648373,0.394999980927
1548929937463263936,0,3.30832540244,0.513999938965
1548929937543282608,0,3.3074933514,0.500000476837
1548929937665502511,0,3.30808740854,0.425000667572
1548929937745232917,0,3.30654142052,0.487999916077
1548929937867217160,0,3.30651199818,0.347000598907
1548929937947187642,0,3.30508489162,0.447999954224
1548929938069652556,0,3.30689826608,0.324000358582
1548929938149185466,0,3.30719545856,0.38300037384
1548929938271139191,0,3.3060657531,0.228000164032
1548929938351202070,0,3.30764136836,0.38300037384
1548929938379646809,0,3.30642275512,0.459000110626
1548929938473523439,0,3.30642275512,0.459000110626
1548929938553407553,0,3.30829586461,0.349999904633
1548929938675321950,0,3.30758232251,0.474000453949
1548929938755176491,0,3.3077308014,0.506000518799
1548929938877269868,0,3.3070470728,0.390999794006
1548929938957924054,0,3.30526293442,0.311999320984
1548929939080339180,0,3.3051141873,0.424999713898
1548929939160086204,0,3.30728504062,0.15299987793
1548929939282145495,0,3.30544152111,0.0790004730225
1548929939361591601,0,3.30761174113,0.400999546051
1548929939483159684,0,3.30823651329,0.618999958038
1548929939563184575,0,3.30838475376,0.46799993515
1548929939686273898,0,3.30752267316,0.381000041962
1548929939787041115,0,3.30674951524,0.282999992371
1548929939888144685,0,3.30698714778,0.486999988556
1548929939989169244,0,3.30633362755,0.47100019455
1548929940090248155,0,3.3066900149,0.528000354767
1548929940191002950,0,3.30567903817,0.720999717712
1548929940292136213,0,1.55088520702,-2.81100034714
1548929940392998293,0,1.42586698756,-1.05199933052
1548929940494045672,0,2.2700490132,18.9170002937
1548929940595133988,0,4.62526991963,13.475002408
1548929940695856856,0,3.1091262619,12.6360006928
1548929940796984958,0,4.41733729839,-0.477000951767
1548929940898179440,0,3.2012456581,-47.0880016088
1548929940902531740,0,3.40098198503,-25.7699999809
1548929940998966636,0,3.40098198503,-25.7699999809
1548929941099901442,0,1.48108183593,0.903999567032
1548929941200858151,0,1.12775393017,5.61100018024
1548929941301829522,0,1.15380042791,-18.57800138
1548929941402906335,0,1.29339125752,-1.76200056076
1548929941504381524,0,2.50985655561,4.97699952126
1548929941604847843,0,4.99361694977,29.0180010796
1548929941705870351,0,3.28032972012,15.5250000954
1548929941806711877,0,4.01680578291,-7.40799999237
1548929941907962282,0,3.17512278212,-39.6050019264
1548929942008813122,0,3.39603947848,-37.0100025535
1548929942109756872,0,1.3165586004,0.840000152588
1548929942210780061,0,1.12253786065,7.78500044346
1548929942311676220,0,1.23521184921,-19.8490011096
1548929942412905805,0,1.28128527105,-1.3719997406
1548929942492632331,0,2.83183752,12.8530015945
1548929942614750425,0,4.7743633315,28.5890016258
1548929942715490634,0,3.32525858283,16.259999752
1548929942795670383,0,3.82576243579,-13.9599999189
1548929942896693339,0,3.24227782153,-41.9370000362
1548929943018708458,0,3.65556730004,-33.03500247
1548929943119723343,0,2.02949942276,-2.64000046253
1548929943199731342,0,1.07822960103,-2.46899968386
1548929943300710340,0,1.26157544181,-10.8809993267
1548929943401539139,0,1.2514609471,-11.6740002632
1548929943424748508,0,3.14968269505,16.9820017815
1548929943502482708,0,3.14968269505,16.9820017815
1548929943603556235,0,4.09004452266,28.2670017481
1548929943725578783,0,3.58618527651,12.9120001793
1548929943805644893,0,3.0182723701,-37.8030014038
1548929943927601196,0,3.59523271024,-37.1990036964
1548929944007420127,0,3.34123709053,-18.9210000038
1548929944129649046,0,0.69939295575,0.845999836922
1548929944209318085,0,1.53232882917,-1.12100076675
1548929944331385104,0,1.2495524846,-18.7740004063
1548929944411307564,0,1.21998057328,-9.67500066757
1548929944533454577,0,3.43389229104,19.5309997797
1548929944613359700,0,3.83360443078,31.1180020571
1548929944735669958,0,3.65046438575,11.9830008745
1548929944815192718,0,3.14037619531,-36.0480015278
1548929944937264250,0,3.85062253475,-46.9120030403
1548929945017433893,0,3.13657460362,-18.9520008564
1548929945139513042,0,0.945655375719,8.84100055695
1548929945219177092,0,1.54414668307,-9.1950006485
1548929945341178058,0,1.27603668146,-9.15700113773
1548929945421184044,0,1.35448587686,9.08000046015
1548929945543129825,0,3.78564598551,28.7930021286
1548929945623273895,0,3.77090577967,26.8150020242
1548929945745118564,0,3.69824624062,12.7750003338
1548929945825210948,0,3.50580607355,-33.7140026093
1548929945947125342,0,3.69888777286,-36.3610010147
1548929945951252499,0,2.89379554242,-12.0590000153
1548929946027154777,0,2.89379554242,-12.0590000153
1548929946149331216,0,0.957511506975,15.1230010986
1548929946229310921,0,1.36747469753,-11.7750003338
1548929946351116881,0,1.31770515069,-8.51299905777
1548929946431145086,0,1.39785921015,12.9280012846
1548929946553164843,0,4.17437535804,-34.3280007839
1548929946633001008,0,3.4994734088,24.1860010028
1548929946755156743,0,3.90479395725,14.9439997673
1548929946835075079,0,3.36700265598,-38.3970023394
1548929946957105463,0,3.79974999279,-42.5650016069
1548929947037209410,0,2.58622326702,-9.62899971008
1548929947159133636,0,0.908799368888,5.00100040436
1548929947239138597,0,1.34699780773,-13.8340001106
1548929947361140366,0,1.29490622878,-5.89800047874
1548929947441090910,0,1.548938049,14.4840004444
1548929947564101361,0,4.5652581621,29.2280014753
1548929947665032013,0,3.4117066171,20.2790012956
1548929947766014014,0,4.16317596287,-5.17399978638
1548929947867710818,0,3.11483994126,-29.8820011616
1548929947968130565,0,3.66895511746,-35.8250021935
1548929948068901672,0,2.24310332537,-1.58600080013
1548929948170021822,0,0.925870720297,7.70300102234
1548929948270874330,0,1.30382364616,-3.66799962521
1548929948371941658,0,1.33255122788,-5.98700046539
1548929948473148714,0,1.67048482969,21.6929998398
1548929948478052075,0,4.5538190864,23.6920006275
1548929948574101126,0,4.5538190864,23.6920006275
1548929948674816280,0,3.34742953256,8.87100028992
1548929948775846716,0,3.97882949561,-8.83500018716
1548929948876778372,0,3.16203159094,-25.5700017214
1548929948978376150,0,3.63595609367,-34.9750013351
1548929949079047335,0,1.97378555685,6.00800085068
1548929949179810114,0,0.856705104001,4.03900039196
1548929949280803099,0,1.24580333382,-9.8060002327
1548929949381843653,0,1.27995735407,-0.978999614716
1548929949483001161,0,1.97854466178,15.493000865
1548929949583897847,0,4.59409105778,23.0460009575
1548929949684877879,0,3.45123558212,16.7380007505
1548929949785829621,0,4.46640887484,-11.4040007591
1548929949886764420,0,3.38449250162,-41.6920022964
1548929949987742822,0,3.58267629892,-30.0770015121
1548929950088842953,0,1.76580715738,6.77000111341
1548929950189670295,0,1.0105695352,6.93999958038
1548929950290569557,0,3.5434871316,-1.50700187683
1548929950391619259,0,2.80262546241,-11.8000013828
1548929950471600743,0,3.24298579991,-0.195999860764
1548929950572761032,0,3.28892782331,1.84199929237
