%time,field.layout.data_offset,field.data0,field.data1
1548930419535601986,0,3.70262382738,51.0630030036
1548930419636322933,0,3.70225708,50.9500026703
1548930419640373332,0,3.70192303695,51.1180026531
1548930419737706942,0,3.70192303695,51.1180026531
1548930419838356889,0,3.70148861594,51.0770026445
1548930419939459255,0,3.70385961141,51.1020017862
1548930420040524708,0,3.70178940799,51.0690023899
1548930420141264586,0,3.70062119234,51.1950021982
1548930420242606027,0,3.70118845813,50.9160031676
1548930420343330388,0,3.70075438078,51.1050021052
1548930420444328288,0,3.70085446071,51.0370020866
1548930420545218285,0,3.70008630306,51.0360023379
1548930420646191146,0,3.69744867738,51.1300025582
1548930420726169009,0,3.70072100312,51.030002892
1548930420827360551,0,3.69607995916,50.9730036855
1548930420928188574,0,3.6946439771,50.9210023284
1548930421029181774,0,3.69571260642,50.8410018682
1548930421130233932,0,3.69481109641,50.8300020099
1548930421231272324,0,3.69638032466,50.9140025973
1548930421353105810,0,3.69467787817,50.9280030131
1548930421436602480,0,3.69457772467,50.988003552
1548930421534135387,0,3.69277448673,50.9360026121
1548930421656077506,0,3.69187281188,50.7030023336
1548930421736246420,0,3.6931084767,50.7990032434
1548930421858903566,0,3.68786640093,50.8340026736
1548930421938195772,0,3.68993643951,50.8850024939
1548930422060365027,0,3.68860093504,50.700001955
1548930422140103012,0,3.69244083203,50.9470031857
1548930422168257923,0,3.68913485948,50.85600245
1548930422262030562,0,3.68913485948,50.85600245
1548930422342101935,0,3.68743204046,50.8430024981
1548930422463954368,0,3.68926845212,50.8830022216
1548930422543970612,0,3.68880108744,50.6890025139
1548930422665769792,0,3.68873442803,50.8540022373
1548930422745968082,0,3.68703167606,50.7830021381
1548930422867811556,0,3.68552890234,50.6100027561
1548930422947928606,0,3.68579642195,50.6950026751
1548930423070042518,0,3.68756576441,50.7700018883
1548930423150051322,0,3.68589626346,50.4820024967
1548930423271809850,0,3.68532848824,50.6830023527
1548930423351800134,0,3.68352558743,50.7250030041
1548930423473726612,0,3.68512855284,50.689002037
1548930423554106344,0,3.68532848824,50.6060020924
1548930423676827181,0,3.68315889314,50.780002594
1548930423776654957,0,3.68653089553,50.6070030928
